"beta_0","beta_1","beta_2","lambda"
"146",5.85591710292227,-4.14369303359271,-0.0017981112105149,0.0202525229954185
"147",5.86387429436672,-4.11044029101512,0.00922132810779245,0.0183883881857839
"148",5.70108417532607,-3.81705512156704,0.00860442669285505,0.0187722580487224
"149",5.20630996170188,-2.35388965299113,-5.60631864529243,0.0578389648504716
"150",4.95715090107119,-2.18631369488002,-5.75387385433074,0.0535118496170454
"151",5.08862674875248,-2.17031041540033,-5.45313371322333,0.0543280606881228
"152",5.24630032990727,-1.41520566329855,-6.54916326109558,0.0651964022217228
"153",5.1209693926605,0.119211431486718,-8.96997867026819,0.0747002617866043
"154",5.10548725975107,-0.4879610845922,-8.11527662680759,0.0690037694533117
"155",5.28278878344248,-0.92922999384996,-7.35744000907408,0.0690037694533117
"156",5.27499662387226,-0.8189436734972,-6.88521644402037,0.0747002617866043
"157",5.54041554626065,-2.08561088972414,-4.7617576689362,0.0607905799498988
"158",5.53811099601084,-2.08040549904978,-4.45863184505006,0.0607905799498988
"159",5.65430395492107,-3.04162440816674,-1.31126003919509,0.0303828785414325
"160",5.58231733157421,-2.85491221080557,0.00677090373193822,0.026586476042351
"161",5.0325843478958,-1.97990320436654,3.0916721750374,0.0149353418640891
"162",4.93107463024967,-1.51777363458381,3.17002873884967,0.0149353418640891
"163",4.90088630208725,-1.41681487677291,3.42619765427028,0.0166955125885371
"164",5.77757157000651,-2.50056888472262,-0.0117760426380086,0.0432032635170383
"165",5.78613262456583,-2.46069474676988,-0.00793408183285704,0.0432032635170383
"166",5.6005858191837,-1.29774062413754,-3.479467541565,0.0747002617866043
"167",5.64281429907876,-1.24592851419132,-4.02979083317302,0.0703314013368433
"168",5.74054618664504,-2.15168075581961,-3.10638822590163,0.0560367326039086
"169",5.59355317398733,-2.26015365743695,-3.23706307303536,0.0491499111515245
"170",5.95368840580009,-2.45562442443886,-3.70840110728439,0.0442756175611505
"171",6.0894974314116,-1.66704701012869,-4.78913981014274,0.0505136524593649
"172",5.8736539785749,-1.25290487276227,-3.68606301803246,0.0498121718844811
"173",6.04182646489291,-1.32544603764882,-3.34018844631727,0.048447913001258
"174",5.89945171503187,-1.08216883876723,-3.30171554223288,0.0527604711359729
"175",6.01735955646012,-1.38488829184099,-2.36502462890462,0.0402898887173646
